"exp_coef","exp_coef_2","lower_95","upper_95","drug","p_value","se","adjusted_pval"
1.96142605852168,0.509833136791146,1.78533338320359,2.15488727161115,"Levothyroxine Sodium",9.31152916702203e-45,0.0479940566306585,6.49013582941435e-42
1.54486788253488,0.647304543841745,1.43812326154876,1.65953561721654,"Atorvastatin Calcium",1.10118734965251e-32,0.0365309879980798,3.83763791353899e-30
1.39604635499861,0.716308592776631,1.31421024925772,1.4829784095853,"Furosemide",2.61566293998596e-27,0.0308211250531513,6.07705689723404e-25
1.9326680885375,0.517419419263412,1.67833492490002,2.2255426405273,"Trimethoprim",5.55875277698937e-20,0.0719907574038674,9.68612671390398e-18
1.4227923122984,0.702843269081615,1.31901515471222,1.53473442416748,"Acetaminophen",7.1437719529812e-20,0.0386415236396525,9.9584181024558e-18
1.96104196494484,0.509932993722615,1.69063314619466,2.27470140221178,"Sulfamethoxazole",5.76719211181584e-19,0.0757018222940926,6.6995548365594e-17
1.78699630551397,0.559598247021772,1.56330395335427,2.04269668036648,"Allopurinol",1.76783296084127e-17,0.0682332274248388,1.76025653386624e-15
1.60996783738345,0.621130420608413,1.44137440510266,1.79828116014349,"Tamsulosin Hydrochloride",3.2342245555894e-17,0.0564383307595949,2.81781814405727e-15
1.48209062610049,0.674722572553535,1.35189799786296,1.62482127161017,"Hydrocodone Bitartrate",4.97807568664608e-17,0.0469111409890131,3.85524305954702e-15
1.49320625628045,0.669699846082203,1.35412891426896,1.64656769403583,"Gabapentin",9.17254597110853e-16,0.0498821808782537,6.39326454186265e-14
1.35363982664189,0.738748949549451,1.25705060572544,1.45765076753904,"Potassium Chloride",1.08580581183917e-15,0.0377705635662131,6.88006046229002e-14
1.87457650387996,0.533453821665971,1.60117320655168,2.19466392175443,"Sertraline Hydrochloride",5.60730757061769e-15,0.0804331895464261,3.25691114726711e-13
1.53726536738264,0.650505775526973,1.3790345250704,1.71365166483663,"Metformin Hydrochloride",8.55982556791559e-15,0.0554201345138947,4.58938340064397e-13
1.85665836432972,0.538602049365725,1.58589296123422,2.17365255165313,"Rosuvastatin Calcium",1.4279723276778e-14,0.0804252852081397,7.10926223136733e-13
0.641851111774291,1.55799371794444,0.573131912174872,0.718809825337722,"Warfarin Sodium",1.662712446621e-14,0.0577768066778828,7.7260705019656e-13
